Verordnungsname;Kürzel;Veröffentlichung;Inkrafttretung;Außerkrafttretung;NRW Ministerium;wo gültig;nicht gestattete Aktivität;verpflichtende Aktivität;für wen gültig;Ausnahmen;Schlagwort(e)
Coronabetreuungsverordnung;CoronaBetr;;03.04.2020;19.04.2020;Arbeit, Gesundheit und Soziales;Schulen;Schulbesuch;; Schüler der Klassen 7-13;Schüler der Klassen 1-6;Vor-Ort-Betreuung
;;;;;;Ersatzschulen;;;;Vor-Ort-Betreuung wegen Kindeswohlgefährdung;Notbetreuung
;;;;;;Ergänzungsschulen;;;;Nutzerinnen und Nutzer, deren pflegerische oder soziale Betreuung für den Zeitraum, in dem sie sich normalerweise in der Werkstatt für behinderte Menschen (WfbM) aufhalten, nicht sichergestellt ist;SchulMails
;;;;;;Kindertageseinrichtungen;;;;Rehabilitandinnen und Rehabilitanden, die einen intensiven und persönlichen Betreuungsaufwand benötigen, dem im häuslichen Rahmen nicht entsprochen werden kann;Empfehlungen des Robert-Koch-Instituts
;;;;;;Kindertagespflegestellen;;;;Nutzerinnen und Nutzer von Tages- und Nachtpflegeeinrichtungen im Sinne des Elften Buches Sozialgesetzbuch , deren häusliche Versorgung bei Wegfall der teilstationären Pflege und Betreuung glaubhaft gefährdet wäre;Home-Office
;;;;;;Tages- und Nachtpflegeeinrichungen;;;;Sektor Energie;vulnerable Bevölkerungsgruppe
;;;;;;Tagesstrukturierende Einrichtungen;;;;Sektor Ernährung, Hygiene;Schutzmaßnahmen
;;;;;;Einrichtungen der beruflichen Rehabilitation;;;;Sektor Informationstechnik und Telekommunikation;kontaktreduzierende Maßnahmen
;;;;;;Berufsbildungswerke;;;;Sektor Gesundheit;virtuelle Lernwelten
;;;;;;Berufsförderungswerke;;;;veterinärmedizinische Notfallversorgung;Kritische Infrastrukturen (KRITIS)
;;;;;;berufliche Trainingszentren;;;;Sektor Finanz- und Wirtschaftswesen;Versorgungsengpässe
;;;;;;interdisziplinäre oder heilpädagogische Frühförderstellen;;;;Sektor Transport und Verkehr;
;;;;;;heilpädagogische Praxen;;;;Sektor Medien;
;;;;;;Autismuszentren;;;;Sektor staatliche Verwaltung (Bund, Land, Kommune);
;;;;;;;;;;Asyl- und Flüchtlingswesen einschließlich Abschiebungshaft, Verfassungsschutz, aufsichtliche Aufgaben, Finanzverwaltung sowie Hochschulen und sonstige wissenschaftlichen Einrichtungen, soweit sie für den Betrieb von sicherheitsrelevanten Einrichtungen oder unverzichtbaren Aufgaben zuständig sind,;
;;;;;;;;;;Sicherstellung notwendiger Betreuung in Schulen, Kindertageseinrichtungen, Kindertagespflege, stationären Einrichtungen der Kinder- und Jugendhilfe und Einrichtungen für Menschen mit Behinderung,;
;;;;;;;;;;notwendige Hilfe- und Schutzangebote der Kinder- und Jugendhilfe sowie Hilfe- und Schutzangebote für weitere schutzbedürftige Personen;
;;;;;;;;;;;
Verordnung;CoronaAufnahmeVO;03.04.2020;03.04.2020;;;;;;;;epidemische Lage nationaler Tragweite
zur Regelung von Neu- und Wiederaufnahmen in;;;;;;;;;;;Aufnahmekapazität
vollstationären Dauer- und Kurzzeitpflegeeinrichtungen sowie;;;;;;;;;;;Anzeichen für einen Atemwegsinfekt
besonderen Wohnformen für Menschen mit Behinderungen;;;;;;;;;;;prioritäre Analyse der Probe
einschließlich Kurzzeitwohneinrichtungen der Eingliederungshilfe;;;;;;;;;;;Isolations- und Quarantänebereiche
zur Verhinderung der weiteren Ausbreitung von SARS-CoV-2;;;;;;;;;;;Kohortenisolierung in Zimmern erfolgen
;;;;;;;;;;;
Verordnung zur Gewährleistung;Ausbildungsgewährleistungsverordnung;31.03.2020;01.04.2020;30.04.2020;Ministerium des Innern im Einvernehmen mit dem Ministerium der Finanzen;;;;Beamtinnen und Beamten des feuerwehrtechnischen Dienstes im Land Nordrhein-Westfalen;;e-Learning-Angebote
der Ausbildungen im feuerwehrtechnischen Dienst ;;;;;;;;;für die Ausbildungsjahrgänge, die im Zeitraum vom 1. April 2018 bis 1. April 2020 in den Vorbereitungsdienst oder in die Ausbildung eingestellt wurden oder werden;;Videokonferenzen
;;;;;;;;;;;
Verordnung zum Schutz;CoronaEinreiseVO;09.04.2020;10.04.2020;19.04.2020;für Arbeit, Gesundheit und Soziales;;Besuch von Personen zu empfangen, die nicht dem Hausstand des Aufenthaltsorts angehören;"verpflichtet, sich unverzüglich nach der Einreise auf direktem Weg in die eigene Häuslichkeit oder eine andere geeignete Unterkunft zu begeben und diesen Aufenthaltsort für einen Zeitraum von 14 Tagen nach ihrer Einreise in die Bundesrepublik Deutschland nicht zu verlassen; dies gilt auch für Personen, die zunächst in ein anderes Land der Bundesrepublik Deutschland eingereist sind";Personen, die auf dem Land-, See-, oder Luftweg aus einem Staat außerhalb der Bundesrepublik Deutschland in das Land Nordrhein-Westfalen einreisen und sich zuvor mehr als 72 Stunden im Ausland aufgehalten haben;;triftiger Reisegrund
vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2;;;;;;;;unverzüglich das für sie zuständige Gesundheitsamt zu kontaktieren und auf das Vorliegen der Verpflichtungen nach Absatz 1 hinzuweisen. Sie haben dem Gesundheitsamt Auskunft über ihren Gesundheitszustand zu geben und sind verpflichtet, das Gesundheitsamt beim Auftreten von Krankheitssymptomen unverzüglich zu kontaktieren;;Personen,  Personen, die beruflich bedingt grenzüberschreitend Personen, Waren oder Güter auf der Straße, der Schiene, per Schiff oder per Flugzeug transportieren;nicht unter gleichem Dach wohnender Lebenspartner
in Bezug auf Ein- und Rückreisende;;;;;;;;;;deren Tätigkeit für die Aufrechterhaltung a)  der Funktionsfähigkeit des Gesundheitswesens, b)  der öffentlichen Sicherheit und Ordnung, c)  der Pflege diplomatischer und internationaler Beziehungen, d)  der Funktionsfähigkeit des Rechtswesens, e)  der Funktionsfähigkeit von Volksvertretung, Regierung und Verwaltung des Bundes, der Länder oder der Kommunen, f)  der Funktionsfähigkeit der Organe der Europäischen Union oder internationaler Organisationen ;betriebliche Hygienemaßnahmen
;;;;;;;;;;Mitarbeiter und Mitarbeiterinnen von Luft-, Schiffs-, Bahn-, oder Busverkehrsunternehmen oder als Besatzung von Flugzeugen, Schiffen, Bahnen und Bussen;Vorkehrungen zur Kontaktvermeidung
;;;;;;;;;;Personen, die täglich oder für bis zu 5 Tage durch ihren Beruf oder ihre Ausbildung veranlasst in das Bundesgebiet einreisen oder nach entsprechendem Aufenthalt im Ausland in das Bundesgebiet zurückkehren;COVID-19
;;;;;;;;;;Personen, die einen sonstigen triftigen Reisegrund haben;
;;;;;;;;;;dringende medizinische Behandlungen;
;;;;;;;;;;Beistand oder Pflege schutzbedürftiger Personen;
;;;;;;;;;;Betreuung von Kindern;
;;;;;;;;;;Beerdigungen und Einäscherungen;
;;;;;;;;;;Teilnahme an zivilen oder religiösen Hochzeiten;
