Verordnungsname,Kürzel,Veröffentlichung,Inkrafttretung,Außerkrafttretung,NRW Ministerium,wo gültig,nicht gestattete Aktivität,verpflichtende Aktivität,für wen gültig,Ausnahmen,Schlagwort(e),Begriff 1 (LEMMA,FREQUENCY,),Begriff 2 (Häufigkeit Platz 2),Begriff 3 (Häufigkeit Platz 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 ,CoronaSchVO,22.03.20,23.03.20,10.05.20,Arbeit Gesundheit und Soziales,Stationäre Gesundheits- und Pflegeeinrichtungen, Freizeit-, Kultur-, Sport- und Vergnügungsstätten, Bibliotheken, Hochschulbibliotheken, Handel, Sonntagsöffnung, Handwerk, Dienstleistungsgewerbe, Beherbergung, Tourismus, Gastronomie, Einkaufszentren ,Veranstaltungen, Versammlungen, Gottesdienste, Beerdigungen, Ansammlungen, Aufenthalt im öffentlichen Raum,,Reiserückkehrer aus Risikogebieten,Bevölkerung,,Grundversorgung, RKI-Richtlinien, Schutzauflagen, Besucherregistrierung, Kontaktdaten, Besucherzahl, Mindestabstände, Hygienemaßnahmen, 2 Meter, kontaktfrei, Umkreis von 50 Metern, Steuerung des Zutritts, Vermeidung von Warteschlangen, Gewährleistung des Mindestabstandes von 1,5 Metern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweite Verordnung zur Änderung von Rechtsverordnungen zum Schutz vor dem Coronavirus SARS-CoV-2 ,,01.05.20,02.05.20, 04.05.20, 07.05.20,,Arbeit Gesundheit und Soziales,,,,,,Besuchsverbot, Hygieneregeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweite Verordnung zur Änderung der Coronabetreuungsverordnung,,05.05.20,06.05.20, 07.05.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dritte Verordnung zur Änderung von Rechtsverordnungen zum Schutz vor dem Coronavirus SARS-CoV-2,,06.05.20,07.05.20, 09.05.20, 11.05.20,,Arbeit Gesundheit und Soziales,,,,,,Erkältungssymptome, Nieshygiene, Abstandsgebot, Infektionsrisiko, Home-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vierte Verordnung zur Änderung von Rechtsverordnungen zum Schutz vor dem Coronavirus SARS-CoV-2 ,,08.05.20,10.05.20, 11.05.20, 14.05.20,15.06.20,Arbeit Gesundheit und Soziales,,,,,,vermeidbare Infektionsgefahren, Hände waschen und desinfizieren, körperbezogene Dienstleistungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dritte Verordnung zur Änderung der Coronabetreuungsverordnung,,11.05.20,14.05.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronaeinreiseverordnung ,,14.05.20,15.05.20,,Arbeit Gesundheit und Soziales,,,,,,eigene Häuslichkeit, epidemiologische Lage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronaschutzverordnung vom 8. Mai 2020,,15.05.20,16.05.20,,Arbeit Gesundheit und Soziales,,,,,,Hygieneschutzkonzept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erste Verordnung zur Änderung der Corona-Epidemie-Hochschulverordnung,,15.05.20,16.05.20,,Kultur und Wissenschaft,,,,,,Notlage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fünfte Verordnung zur Änderung von Rechtsverordnungen zum Schutz vor dem Coronavirus SARS-CoV-2 Vom 19. Mai 2020,,19.05.20,19.05.20, 28.05.20,,Arbeit Gesundheit und Soziales,,,,,,Symptome, COVID-19-Infektion, im Freien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweite Verordnung zur Änderung der Coronaschutzverordnung vom 8. Mai 2020 Vom 20. Mai 2020,,20.05.20,21.05.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dritte Verordnung zur Änderung der Coronaschutzverordnung vom 8. Mai 2020 Vom 27. Mai 2020,,27.05.20,30.05.20,15.06.20,Arbeit Gesundheit und Soziales,,,,,,geschlossene Räumlichkeiten, Kontaktdaten, Rückverfolgbarkeit, Zuschauerkapazität,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Berufsordnung für Hebammen und Entbindungspfleger Vom 18. Mai 2020,,18.05.20,19.05.20, 28.05.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sechste Verordnung zur Änderung von Rechtsverordnungen zum Schutz vor dem Coronavirus SARS-CoV-2,,29.05.20,30.05.20, 08.06.20,,Arbeit Gesundheit und Soziales,,,,,,SARS-CoV-2-Infektion, Niesetikette, Kontaktnachverfolgung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vierte Verordnung zur Änderung der Coronabetreuungsverordnung Vom 2. Juni 2020,,02.06.20,08.06.20,,Arbeit Gesundheit und Soziales,,,,,,eingeschränkter Regelbetrieb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siebte Verordnung zur Änderung von Rechtsverordnungen zum Schutz vor dem Coronavirus SARS-CoV-2 ,,10.06.20,15.06.20,,Arbeit Gesundheit und Soziales,,,,,,Visier, Pflicht zum Tagen einer Mund-Nasen-Bedeckung, geschlossene Räume, Durchlüftung, am selben Tisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achte Verordnung zur Änderung von Rechtsverordnungen zum Schutz vor dem Coronavirus SARS-CoV-2,,15.06.20,16.06.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronaschutzverordnung vom 10. Juni 2020 Vom 18. Juni 2020,,18.06.20,19.06.20,,Arbeit Gesundheit und Soziales,,,,,,Abschlussklasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweite Verordnung zur Änderung der Coronaschutzverordnung vom 10. Juni 2020 Vom 19. Juni 2020,,19.06.20,20.06.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 in Bezug auf Ein- und Rückreisende – Coronaeinreiseverordnung,CoronaEinrVO,21.06.20,22.06.20,01.07.20,Arbeit Gesundheit und Soziales,,,,,,Risikogebiet, Gesundheitsamt, Coronavirus SARS-CoV-2, Reisegründe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 in Regionen mit besonderem Infektionsgeschehen – Coronaregionalverordnung,CoronaRegioVO,23.06.20,24.06.20,30.06.20,Arbeit Gesundheit und Soziales,,,,,,Infektionsgeschehen, mehr als 50 Neuinfektionen je 100.000 Einwohner, voherige Testung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronaregionalverordnung ,,24.06.20,25.06.20,,Arbeit Gesundheit und Soziales,,,,,,48 Stunden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 in Regionen mit besonderem Infektionsgeschehen – Coronaregionalverordnung,CoronaRegioVO,30.06.20,01.07.20,07.07.20,Arbeit Gesundheit und Soziales,Einwohner Kreis Gütersloh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 – Coronaschutzverordnung,CoronaSchVO,01.07.20,02.07.20,15.07.20,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
